Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
2061,1.1006104032540631,1.503237770956321,2.057865138658579,8.3669960714976,11.114269975344339,15.073397288004557
2062,1.1186104032540631,1.5242377709563208,2.086865138658579,8.5369960714976,11.33926997534434,15.401397288004556
2063,1.1356104032540633,1.5452377709563208,2.1168651386585786,8.707996071497599,11.56626997534434,15.728397288004556
2064,1.1526104032540632,1.5652377709563208,2.1448651386585786,8.8789960714976,11.79426997534434,16.055397288004556
2065,1.169610403254063,1.5852377709563208,2.1738651386585786,9.0509960714976,12.024269975344339,16.382397288004558
2066,1.185610403254063,1.6052377709563208,2.2018651386585786,9.2219960714976,12.255269975344339,16.710397288004557
2067,1.201610403254063,1.6252377709563208,2.2288651386585787,9.392996071497599,12.48726997534434,17.040397288004556
2068,1.2166104032540632,1.644237770956321,2.2568651386585787,9.562996071497599,12.72026997534434,17.371397288004555
2069,1.2316104032540631,1.663237770956321,2.2828651386585785,9.7319960714976,12.95426997534434,17.706397288004556
2070,1.2466104032540632,1.6822377709563208,2.3098651386585787,9.8989960714976,13.19026997534434,18.043397288004556
2071,1.2606104032540633,1.700237770956321,2.3348651386585786,10.0639960714976,13.42726997534434,18.38439728800456
2072,1.2736104032540632,1.7182377709563208,2.360865138658579,10.2269960714976,13.665269975344339,18.72939728800456
2073,1.286610403254063,1.736237770956321,2.3858651386585787,10.3889960714976,13.90326997534434,19.07639728800456
2074,1.2996104032540632,1.753237770956321,2.4098651386585788,10.5489960714976,14.14326997534434,19.425397288004557
2075,1.310610403254063,1.7702377709563208,2.433865138658579,10.7089960714976,14.383269975344339,19.77739728800456
2076,1.322610403254063,1.7862377709563209,2.457865138658579,10.8669960714976,14.62426997534434,20.129397288004558
2077,1.3336104032540632,1.8022377709563209,2.4808651386585785,11.0249960714976,14.86526997534434,20.483397288004557
2078,1.3436104032540632,1.817237770956321,2.5028651386585787,11.1829960714976,15.10726997534434,20.837397288004556
2079,1.3526104032540631,1.8322377709563211,2.5248651386585785,11.3409960714976,15.348269975344339,21.190397288004558
2080,1.3616104032540632,1.8472377709563208,2.545865138658579,11.498996071497599,15.59026997534434,21.54339728800456
2081,1.3696104032540632,1.861237770956321,2.566865138658579,11.6579960714976,15.83226997534434,21.895397288004556
2082,1.3776104032540633,1.8752377709563208,2.5878651386585787,11.8159960714976,16.073269975344342,22.246397288004555
2083,1.3836104032540633,1.8882377709563207,2.606865138658579,11.9759960714976,16.31526997534434,22.596397288004557
2084,1.3896104032540633,1.9012377709563206,2.6258651386585785,12.1359960714976,16.55626997534434,22.94539728800456
2085,1.3956104032540633,1.914237770956321,2.6448651386585786,12.2959960714976,16.79626997534434,23.294397288004557
2086,1.3996104032540633,1.9252377709563206,2.662865138658579,12.4559960714976,17.03726997534434,23.64339728800456
2087,1.403610403254063,1.9372377709563207,2.679865138658579,12.6169960714976,17.27626997534434,23.993397288004555
2088,1.4066104032540632,1.9482377709563208,2.6968651386585787,12.7769960714976,17.515269975344342,24.34239728800456
2089,1.4086104032540632,1.958237770956321,2.7128651386585787,12.937996071497599,17.75326997534434,24.69239728800456
2090,1.4106104032540632,1.9682377709563208,2.7288651386585787,13.0989960714976,17.99026997534434,25.04339728800456
2091,1.4106104032540632,1.9772377709563207,2.743865138658579,13.2599960714976,18.22626997534434,25.395397288004556
2092,1.4106104032540632,1.986237770956321,2.7578651386585786,13.4209960714976,18.46126997534434,25.748397288004558
2093,1.4086104032540632,1.9942377709563206,2.771865138658579,13.5809960714976,18.695269975344342,26.102397288004557
2094,1.4066104032540632,2.0022377709563206,2.7848651386585788,13.7419960714976,18.92726997534434,26.459397288004556
2095,1.403610403254063,2.0092377709563207,2.7968651386585788,13.9019960714976,19.15926997534434,26.81739728800456
2096,1.3996104032540633,2.015237770956321,2.808865138658579,14.0619960714976,19.38826997534434,27.17739728800456
2097,1.3946104032540632,2.0212377709563207,2.819865138658579,14.2219960714976,19.61626997534434,27.53939728800456
2098,1.3886104032540632,2.0262377709563206,2.8298651386585787,14.3819960714976,19.843269975344338,27.904397288004557
2099,1.3816104032540633,2.031237770956321,2.8398651386585785,14.5399960714976,20.06726997534434,28.27239728800456
2100,1.3736104032540633,2.035237770956321,2.8478651386585785,14.6989960714976,20.29026997534434,28.64339728800456
